Company,Group,Change
L&T Technology Serv,A,+   0.84
TVS Supply Chain Sol,A,+   0.84
Marico Ltd.,A,+   0.83
YES Bank Ltd.,A,+   0.82
Radico Khaitan,A,+   0.81
Info Edge (India),A,+   0.81
Dr. Lal Pathlabs Ltd,A,+   0.81
HDFC Life Insurance,A,+   0.80
Paradeep Phospha,A,+   0.76
Rail Vikas Nigam,A,+   0.76
Bharat Dynamics,A,+   0.76
Crisil,A,+   0.76
MOIL,A,+   0.76
Safari Indus.,A,+   0.75
NBCC (India),A,+   0.74
UCO Bank,A,+   0.73
Aegis Logistics Ltd.,A,+   0.73
HG Infra Engineering,A,+   0.73
MSTC,A,+   0.73
Garden Reach Ship,A,+   0.73
Rites Ltd.,A,+   0.73
Balrampur Chini,A,+   0.72
Nazara Technologies,A,+   0.71
Bikaji Foods Inter,A,+   0.71
Colgate Palm.,A,+   0.71
Bank of Baroda,A,+   0.71
Godrej Consumer Prod,A,+   0.70
Clean Science & Tech,A,+   0.70
C.E. Info Systems,A,+   0.70
Supreme Inds.,A,+   0.70
Laxmi Organic Indust,A,+   0.69
United Breweries Ltd,A,+   0.69
L&T,A,+   0.69
HCL Technologies,A,+   0.68
HFCL,A,+   0.68
Guj. Amb.Exports,A,+   0.68
Tanla Platforms,A,+   0.68
Glenmark Pharma,A,+   0.68
LMW Ltd,A,+   0.67
Shilpa Medicare L,A,+   0.67
Thermax,A,+   0.67
Astral Ltd,A,+   0.64
Sequent Scientific,A,+   0.64
Zee Entertainment En,A,+   0.63
Ambuja Cements,A,+   0.63
Page Industries Ltd.,A,+   0.63
Archean Chemical,A,+   0.61
Ion Exchange (India),A,+   0.60
Suzlon Energy Ltd.,A,+   0.60
Fineotex Chemical Lt,A,+   0.59
Natco Pharma,A,+   0.58
IDBI Bank,A,+   0.56
Deepak Nitrite,A,+   0.56
Rain Industries,A,+   0.55
Tech Mahindra,A,+   0.55
Crompton Greaves Con,A,+   0.55
Gokaldas Exports,A,+   0.55
Va Tech Wabag,A,+   0.55
NCC,A,+   0.55
Infosys L,A,+   0.54
Coal India,A,+   0.53
DCM Shriram,A,+   0.53
Pidilite Inds.,A,+   0.52
Polycab India,A,+   0.52
Jubilant Foodworks L,A,+   0.52
Sundaram Fasten.,A,+   0.51
ITC Ltd.,A,+   0.51
Tilaknagar Industrie,A,+   0.50
Apollo Tyres,A,+   0.50
Network18 Media & In,A,+   0.50
TD Power Systems,A,+   0.48
Tata Consumer Produc,A,+   0.47
Sansera Engineering,A,+   0.47
Bajaj Consumer Care,A,+   0.46
Gland Pharma,A,+   0.45
Vardhman Textiles Lt,A,+   0.45
Hindustan Aeronautic,A,+   0.45
Lloyds Engineering,A,+   0.45
Raymond Ltd,A,+   0.45
Aavas Financiers,A,+   0.44
Bharat Electroni,A,+   0.42
Tamilnad Mercantile,A,+   0.41
HUDCO,A,+   0.41
Redtape L,A,+   0.41
Indian Railway Fin,A,+   0.41
KFIN Technologies,A,+   0.41
Ashok Leyland,A,+   0.41
GMM Pfaudler Ltd,A,+   0.40
Marksans Pharma,A,+   0.40
Rashtriya Chemicals,A,+   0.40
Garware Tech. Fibres,A,+   0.40
Aarti Pharmalabs,A,+   0.39
Trident Ltd.,A,+   0.39
Firstsource Solution,A,+   0.39
Honasa Consumer,A,+   0.38
Dalmia Bharat L,A,+   0.38
Signatureglobal (Ind,A,+   0.38
One97 Communications,A,+   0.38
CreditAccess Grameen,A,+   0.37
Sammaan Capital L,A,+   0.36
Endurance Technologi,A,+   0.36
Hind. Petrol,A,+   0.36
Dixon Technologies,A,+   0.35
Reliance Inds.,A,+   0.35
LIC,A,+   0.35
Computer Age Mgt,A,+   0.34
Jammu & Kashmir Bank,A,+   0.33
V-Guard Ind.Ltd.,A,+   0.32
Anand Rathi Wealth,A,+   0.31
Cello World,A,+   0.30
Indian Hotels Co,A,+   0.30
Balkrishna Ind.,A,+   0.30
SBI Life Insurance,A,+   0.30
Prism Johnson,A,+   0.29
Linde India,A,+   0.28
BASF India Lt,A,+   0.27
UNO Minda,A,+   0.27
Zydus Wellness Ltd.,A,+   0.26
Jubilant Pharmova,A,+   0.26
Chalet Hotels L,A,+   0.26
360 One Wam,A,+   0.26
3M India Ltd.,A,+   0.25
Finolex Industries,A,+   0.25
JSW Steel,A,+   0.24
Kansai Nerolac Paint,A,+   0.24
Fortis Healthcare,A,+   0.23
Abbott India Ltd.,A,+   0.22
Jyothy Labs,A,+   0.22
Restaurant Brands,A,+   0.22
Gujarat Fluorochem,A,+   0.21
KIOCL,A,+   0.21
Ceat Ltd.,A,+   0.21
Ingersoll Rand,A,+   0.19
Olectra Greentech,A,+   0.18
ACC,A,+   0.18
Wockhardt Ltd.,A,+   0.17
Hindustan Unilever L,A,+   0.16
Eris Lifesciences,A,+   0.16
SRF Ltd.,A,+   0.15
Alembic Pharmaceutic,A,+   0.15
The New India Assur,A,+   0.13
Asian Paints Ltd.,A,+   0.13
Nestle India,A,+   0.13
Authum Investment,A,+   0.13
Carborundum Uni.,A,+   0.13
IIFL Capital Service,A,+   0.12
UltraTech Cement,A,+   0.12
Protean eGov Techno,A,+   0.12
Himadri Speciality,A,+   0.12
Inox Wind Ltd.,A,+   0.11
Great Eastern,A,+   0.11
Bosch Ltd.,A,+   0.11
Mankind Pharma,A,+   0.11
Blue Dart Expres,A,+   0.11
Varroc Engineering,A,+   0.11
MTAR Technologies,A,+   0.10
Bata India,A,+   0.08
Cipla,A,+   0.08
Bajaj Auto,A,+   0.08
Alkem Laboratories,A,+   0.08
Hindalco Indus.,A,+   0.07
Welspun Living,A,+   0.07
Lemon Tree Hotels,A,+   0.07
Vinati Organics,A,+   0.06
Maha. Scooters,A,+   0.06
ZF Commercial Vehicl,A,+   0.05
eMudhra,A,+   0.05
GMR Airports,A,+   0.05
Shipping Corpn.,A,+   0.02
HEG Ltd.,A,+   0.01
Bajaj Holdings & Inv,A,+   0.01
